City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Isangel,VU,2022-04-02 02:24:12,-19.55,169.2667,85.08,75,57,7.72
1,East London,ZA,2022-04-02 02:22:30,-33.0153,27.9116,64.96,93,100,7.31
2,Touros,BR,2022-04-02 02:24:12,-5.1989,-35.4608,79.75,82,98,11.61
3,Semme,FR,2022-04-02 02:24:12,46.1963,1.5007,30.61,97,100,12.17
4,Buala,SB,2022-04-02 02:38:10,-8.145,159.5921,81.5,82,87,10.29
5,Albany,US,2022-04-02 02:37:51,42.6001,-73.9662,36.23,64,90,5.99
6,Faanui,PF,2022-04-02 02:35:32,-16.4833,-151.75,82.36,67,100,1.52
7,Barrow,US,2022-04-02 02:35:37,71.2906,-156.7887,-2.18,65,0,18.41
8,Hermanus,ZA,2022-04-02 02:33:57,-34.4187,19.2345,57.79,71,95,14.29
9,Wajima,JP,2022-04-02 02:35:36,37.4,136.9,48.88,46,20,4.61
10,San Patricio,US,2022-04-02 02:38:11,28.017,-97.5169,71.46,78,35,11.07
11,Tiksi,RU,2022-04-02 02:38:12,71.6872,128.8694,13.75,88,59,5.64
12,Ponta Do Sol,PT,2022-04-02 02:38:12,32.6667,-17.1,63.01,83,100,1.21
13,Anadyr,RU,2022-04-02 02:38:12,64.75,177.4833,21.7,85,20,11.18
14,Kavieng,PG,2022-04-02 02:38:13,-2.5744,150.7967,76.32,92,100,7.92
15,New Norfolk,AU,2022-04-02 02:38:13,-42.7826,147.0587,61.92,55,89,4.0
16,Usak,TR,2022-04-02 02:38:14,38.5,29.4167,49.46,41,69,7.09
17,Rikitea,PF,2022-04-02 02:33:48,-23.1203,-134.9692,75.36,63,7,12.1
18,Port Alfred,ZA,2022-04-02 02:34:34,-33.5906,26.891,61.18,97,100,4.54
19,Ostrovnoy,RU,2022-04-02 02:38:14,68.0531,39.5131,10.13,95,84,12.66
20,Ust-Abakan,RU,2022-04-02 02:38:15,53.8525,91.3742,44.51,42,0,13.42
21,Jamestown,US,2022-04-02 02:38:15,42.097,-79.2353,32.02,65,100,13.8
22,Sola,VU,2022-04-02 02:38:16,-13.8833,167.55,78.6,84,100,17.58
23,Kahului,US,2022-04-02 02:38:16,20.8947,-156.47,80.62,70,40,20.71
24,Asau,RO,2022-04-02 02:38:16,46.4333,26.4,52.72,84,100,4.97
25,Fortuna,US,2022-04-02 02:38:17,40.5982,-124.1573,50.94,83,75,14.97
26,Kaitangata,NZ,2022-04-02 02:38:17,-46.2817,169.8464,64.2,55,0,9.55
27,Lethem,GY,2022-04-02 02:38:18,3.3803,-59.7968,79.2,62,82,9.53
28,East London,ZA,2022-04-02 02:38:05,-33.0153,27.9116,64.99,93,100,6.35
29,Cape Town,ZA,2022-04-02 02:37:28,-33.9258,18.4232,64.11,68,0,21.85
30,Zhongshu,CN,2022-04-02 02:38:18,24.5167,103.7667,41.34,94,100,4.43
31,Lensk,RU,2022-04-02 02:38:19,60.7253,114.9278,24.37,78,96,13.82
32,Sioux Lookout,CA,2022-04-02 02:38:19,50.1001,-91.917,39.27,48,75,4.61
33,Sao Geraldo Do Araguaia,BR,2022-04-02 02:38:19,-6.4006,-48.555,72.79,97,100,1.52
34,Provideniya,RU,2022-04-02 02:38:20,64.3833,-173.3,26.22,78,94,8.86
35,Torbay,CA,2022-04-02 02:35:30,47.6666,-52.7314,34.29,93,100,29.93
36,Talara,PE,2022-04-02 02:38:22,-4.5772,-81.2719,72.84,82,64,12.46
37,Mar Del Plata,AR,2022-04-02 02:33:49,-38.0023,-57.5575,59.88,77,0,6.91
38,Hobart,AU,2022-04-02 02:36:09,-42.8794,147.3294,62.28,81,75,17.27
39,Monticello,US,2022-04-02 02:38:22,45.3055,-93.7941,35.85,92,100,3.44
40,Puerto Ayora,EC,2022-04-02 02:38:22,-0.7393,-90.3518,77.56,97,20,5.41
41,Feni,BD,2022-04-02 02:38:23,23.0186,91.41,82.35,69,100,6.38
42,Bredasdorp,ZA,2022-04-02 02:36:43,-34.5322,20.0403,63.43,66,99,11.07
43,Kapaa,US,2022-04-02 02:38:24,22.0752,-159.319,82.38,91,75,18.41
44,Chokurdakh,RU,2022-04-02 02:38:24,70.6333,147.9167,-0.72,83,40,3.47
45,Banda Aceh,ID,2022-04-02 02:38:24,5.5577,95.3222,83.71,73,100,8.9
46,Mehamn,NO,2022-04-02 02:38:25,71.0357,27.8492,22.86,84,100,4.83
47,Kolobrzeg,PL,2022-04-02 02:38:25,54.1757,15.5834,37.96,58,97,24.29
48,College,US,2022-04-02 02:36:05,64.8569,-147.8028,22.95,35,75,19.57
49,Cherskiy,RU,2022-04-02 02:39:25,68.75,161.3,-6.18,81,100,0.67
50,Muros,ES,2022-04-02 02:39:26,42.7762,-9.0603,36.84,88,9,10.76
51,Pisco,PE,2022-04-02 02:34:47,-13.7,-76.2167,68.05,73,0,9.22
52,Weifang,CN,2022-04-02 02:39:27,36.71,119.1019,58.3,29,98,1.97
53,Butaritari,KI,2022-04-02 02:35:17,3.0707,172.7902,82.22,72,31,20.56
54,Qaanaaq,GL,2022-04-02 02:39:27,77.484,-69.3632,14.67,94,100,2.21
55,Tezu,IN,2022-04-02 02:39:27,27.9167,96.1667,73.99,72,96,1.63
56,Georgetown,MY,2022-04-02 02:35:29,5.4112,100.3354,87.73,78,20,5.01
57,Sunam,IN,2022-04-02 02:39:28,30.1333,75.8,85.32,6,0,4.97
58,Lompoc,US,2022-04-02 02:39:28,34.6391,-120.4579,57.34,84,20,10.36
